estado,fecha,promedio_dias
Virginia,2010-12,109.0
Washington,2010-12,135.0
Massachusetts,2010-12,118.0
Indiana,2010-12,137.5
Arizona,2010-12,108.0
Tennessee,2010-12,147.0
Missouri,2010-12,122.0
Maryland,2010-12,124.0
Wisconsin,2010-12,138.0
Minnesota,2010-12,128.0
Colorado,2010-12,116.0
Alabama,2010-12,148.0
South Carolina,2010-12,151.0
Louisiana,2010-12,105.0
Kentucky,2010-12,124.0
Oregon,2010-12,130.0
Oklahoma,2010-12,118.5
Connecticut,2010-12,139.0
Iowa,2010-12,114.0
Mississippi,2010-12,119.0
Arkansas,2010-12,138.0
Kansas,2010-12,118.0
Utah,2010-12,116.0
Nevada,2010-12,104.0
New Mexico,2010-12,132.0
West Virginia,2010-12,131.0
Nebraska,2010-12,119.5
Idaho,2010-12,119.0
Hawaii,2010-12,92.0
Maine,2010-12,155.0
New Hampshire,2010-12,110.0
Rhode Island,2010-12,152.0
Montana,2010-12,122.0
Delaware,2010-12,126.0
South Dakota,2010-12,
Alaska,2010-12,120.0
North Dakota,2010-12,96.5
Vermont,2010-12,171.0
District of Columbia,2010-12,85.0
Wyoming,2010-12,115.0
Puerto Rico,2010-12,
California,2011-01,110.0
Texas,2011-01,133.0
New York,2011-01,171.0
Florida,2011-01,122.0
Illinois,2011-01,147.0
Pennsylvania,2011-01,140.0
Ohio,2011-01,137.0
Michigan,2011-01,120.0
Georgia,2011-01,149.0
North Carolina,2011-01,153.0
New Jersey,2011-01,178.0
Virginia,2011-01,127.0
Washington,2011-01,143.0
Massachusetts,2011-01,129.0
Indiana,2011-01,133.0
Arizona,2011-01,116.0
Tennessee,2011-01,145.0
Missouri,2011-01,131.0
Maryland,2011-01,127.0
Wisconsin,2011-01,144.0
Minnesota,2011-01,133.0
Colorado,2011-01,125.0
Alabama,2011-01,147.0
South Carolina,2011-01,163.0
Louisiana,2011-01,117.0
Kentucky,2011-01,121.0
Oregon,2011-01,136.0
Oklahoma,2011-01,123.0
Connecticut,2011-01,138.0
Iowa,2011-01,122.0
Mississippi,2011-01,127.0
